Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Company_Reply,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&Comment,Burger King,https://twitter.com/romontalvetti/status/1483182741382475779,Ro Man Riquelme,https://twitter.com/@romontalvetti,2022-01-17T21:01:36.000Z,"nike = mcdonald’s 
adidas = burger king 
O no que si?",,"https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, ",False,,3,1,33,N/A
Post&Comment,Burger King,https://twitter.com/NeilJacobs/status/1483143973631889409,Neil Jacobs,https://twitter.com/@NeilJacobs,2022-01-17T18:27:33.000Z,"Crazy coming from a guy who came to Canada at 5 years old as a refugee from Sri Lanka. Mooched off the Canadian welfare system. Worked at f*cking Burger King.  The lack of empathy is astounding.

I don’t think anymore context would make this video better.","https://pbs.twimg.com/ext_tw_video_thumb/1482316753728425986/pu/img/IX8GeAejZ9wWjUIk.jpg, ","https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, blob:https://twitter.com/2e52b165-3d1f-4392-90a2-30eed3883485, ",False,,27,11,134,N/A
Post&Comment,Burger King,https://twitter.com/DannyBX78/status/1483112899430203392,Danny DQ Quinones,https://twitter.com/@DannyBX78,2022-01-17T16:24:04.000Z,"Mayor Eric Adams will pay for the death of ""Krystal Bayron Nieves"". The 19 year old who was shot & killed at Burger King in East Harlem January 9, 2022.

He is at fault for this, and now, his must face the consequences.

R.I.P. Krystal Bayron Nieves :'(","https://pbs.twimg.com/media/FJUTUT_XsAwEYQc?format=jpg&name=small, ","https://video.twimg.com/tweet_video/FJUq3C9XwAI6Kgl.mp4, blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, blob:https://twitter.com/2e52b165-3d1f-4392-90a2-30eed3883485, ",False,,0,1,3,N/A
Post&Comment,Burger King,https://twitter.com/LuciferLuciel/status/1483159333240250369,Luciel,https://twitter.com/@LuciferLuciel,2022-01-17T19:28:35.000Z,"Replying to 
@PinkDemiiii","https://pbs.twimg.com/ext_tw_video_thumb/1483159217053786117/pu/img/avUFxQKrYPCqj82j.jpg, ","blob:https://twitter.com/c13c83a4-0530-4394-9dc3-2a8304bb541e, blob:https://twitter.com/2e52b165-3d1f-4392-90a2-30eed3883485, blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, ",False,,3,1,20,N/A
Post&Comment,Burger King,https://twitter.com/KevMc2021/status/1483205936177164289,KevinMc,https://twitter.com/@KevMc2021,2022-01-17T22:33:46.000Z,"Replying to 
@patriottakes",,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,0,0,101,N/A
Post&Comment,Burger King,https://twitter.com/_skateez/status/1483084822658654214,yeo,https://twitter.com/@_skateez,2022-01-17T14:32:30.000Z,dude if he wasn’t from jyp he would serve me fries at burger king stfu,,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,0,0,13,N/A
Post&Comment,Burger King,https://twitter.com/Brrrrraaaaiiins/status/1483168145116479499,"TeeJ, Son of Tormund Giantsbane",https://twitter.com/@Brrrrraaaaiiins,2022-01-17T20:03:36.000Z,"Healthy dinner schedule to lose weight:

Monday - Taco Bell
Tuesday - McDonald’s 
Wednesday - Popeyes 
Thursday - Sonic
Friday - Burger King
Saturday - Chic Fil A
Sunday - Taco Bell (again)  #BadTipsForDieting",,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,4,12,27,N/A
Post&Comment,Burger King,https://twitter.com/DaceRink/status/1483224125183254532,Dace Rink,https://twitter.com/@DaceRink,2022-01-17T23:46:03.000Z,"Replying to 
@sheilaMol1
 @OliverDurham10
 and 8 others",,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,0,0,3,N/A
Post&Comment,Burger King,https://twitter.com/Naztee196/status/1483203927046770689,Nazty,https://twitter.com/@Naztee196,2022-01-17T22:25:47.000Z,He just found out Burger King went bust,"https://pbs.twimg.com/media/FJQVLbIXwAYXt_u?format=jpg&name=small, ","blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,0,0,9,N/A
Post&Comment,Burger King,https://twitter.com/LostNTheAbyss/status/1483213969083052036,TwistedSister ,https://twitter.com/@LostNTheAbyss,2022-01-17T23:05:41.000Z,Don’t these people at Burger King know I’ve been at the grocery store for an hour and I just want to get home? So slow,,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,6,7,44,N/A
Post&Comment,Burger King,https://twitter.com/CDCobermai/status/1483221086082945025,Cobermai,https://twitter.com/@CDCobermai,2022-01-17T23:33:58.000Z,I like Burger King more than most burger places,,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,0,2,N/A
Post&Comment,Burger King,https://twitter.com/NANCYPOPULAR1/status/1483191325461786627,NANCY,https://twitter.com/@NANCYPOPULAR1,2022-01-17T21:35:43.000Z,"One time I watched 
@paqratx
 order like 25 Burger King burgers and eat them over three days",,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,2,1,13,N/A
Post&Comment,Burger King,https://twitter.com/jpegruntz/status/1483199301354496001,runt,https://twitter.com/@jpegruntz,2022-01-17T22:07:24.000Z,burger king has to be laundering money bc who the fuck goes to burger king,,"blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,1,5,N/A
Post&Comment,Burger King,https://twitter.com/Isles_Life/status/1483222885812555786,𝕀𝕤𝕝𝕖𝕤 𝕃𝕚𝕗𝕖,https://twitter.com/@Isles_Life,2022-01-17T23:41:07.000Z,I had a mullet and my birthday is obviously at Burger King. Good old days.,"https://pbs.twimg.com/media/FJV3WriXsAM0lFX?format=jpg&name=small, ","blob:https://twitter.com/41955664-e4ea-4867-b55c-8e7019c3818c, https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,0,10,N/A
Post&Comment,Burger King,https://twitter.com/ConstanceDilem1/status/1483114895692472323,"sally from this movie, obviously.",https://twitter.com/@ConstanceDilem1,2022-01-17T16:32:00.000Z,"Replying to 
@RoryPetzer",,"https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,0,8,N/A
