Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1016,Çigköftem,,"Maandag: 12:30 - 20:30
Dinsdag: 12:30 - 20:30
Woensdag: 12:30 - 20:30
Donderdag: 12:30 - 20:30
Vrijdag: 12:30 - 20:30
Zaterdag: 12:30 - 20:30
Zondag: Gesloten voor bezorging
","Pakketten, Dürüm, Falafel, Extra's, Dranken, Ben & Jerry's 100ml, Ben & Jerry's 465ml, Magnum pints 440ml, ","3,9, op basis van 658 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 20,00",https://www.thuisbezorgd.nl/menu/cigkoftem-dappermarkt-1
1016,Sushi One,,"Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:15 - 23:30
Donderdag: Gesloten voor bezorging
Vrijdag: Gesloten voor bezorging
Zaterdag: Gesloten voor bezorging
Zondag: Gesloten voor bezorging
","MealDeals, Inside out rolls, Nigiri, Maki, Hand roll, ","4,4, op basis van 79 beoordelingen",Bezorgen in 15-40 min,,"€ 19,99",https://www.thuisbezorgd.nl/menu/sushi-one
1016,Thai Kitchen The Only One,,"Maandag: 15:45 - 21:45
Dinsdag: 15:45 - 21:45
Woensdag: 15:45 - 21:45
Donderdag: 15:45 - 21:45
Vrijdag: 15:45 - 21:45
Zaterdag: 15:45 - 21:45
Zondag: 15:45 - 21:45
","Chicken dishes, Beef dishes, Fish dishes, Vegetarian, Just enough, On the side, Specials from the chef, ","4,5, op basis van 1.922 beoordelingen",Bezorgen in 30-55 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/thai-kitchen-the-only-one
1016,Midnight Express,"Tussen de bogen 7, 1013JB Amsterdam, ","Maandag: 18:00 - 00:30
Dinsdag: 18:00 - 04:15
Woensdag: 18:00 - 04:15
Donderdag: 21:30 - 04:15
Vrijdag: 18:00 - 04:15
Zaterdag: 18:00 - 04:15
Zondag: Gesloten voor bezorging
","Buttermilk fried chicken, Burgers, Bijgerechten, Milkshakes, Sauzen, Dranken, Baked goods, ","4,9, op basis van 153 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/midnight-express
1016,Sushi One,"Tweede Hugo de Grootstraat 3, 1052LA Amsterdam, ","Maandag: 17:15 - 22:45
Dinsdag: 17:15 - 22:45
Woensdag: 17:15 - 22:45
Donderdag: 17:15 - 22:45
Vrijdag: 17:15 - 22:45
Zaterdag: 17:15 - 22:45
Zondag: 17:15 - 22:45
","MealDeals, Inside out rolls, Nigiri, Maki, Hand roll, Futo maki, Sashimi, Sushi One menu's, Sushi menu's, ","4,4, op basis van 927 beoordelingen",Bezorgen in 20-45 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/sushi-one-new-1
1016,American Pizza,"Muiderstraat 18 unit 2, 1011 RB Amsterdam, ","Maandag: 17:00 - 04:00
Dinsdag: 17:00 - 04:00
Woensdag: 17:00 - 04:00
Donderdag: 17:00 - 04:00
Vrijdag: 17:00 - 04:00
Zaterdag: 17:00 - 04:00
Zondag: 17:00 - 04:00
","Pizza's, Burgers, Kapsalons, Snacks, Frisdrank, ",,Bezorgen in 25-35 min,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/pizza-king-new
1016,Mister Wings,,"Maandag: 17:00 - 05:00
Dinsdag: 17:00 - 05:00
Woensdag: 17:00 - 05:00
Donderdag: 17:00 - 06:00
Vrijdag: 16:45 - 06:00
Zaterdag: 13:00 - 06:00
Zondag: 16:45 - 05:00
","Specials, Kip burger, Wings, Tender strips, Loaded fries XL, Snacks and sides, Dessert, Sauzen, ","3,7, op basis van 284 beoordelingen",Bezorgen in 20-45 min,"€ 2,99","€ 15,00",https://www.thuisbezorgd.nl/menu/mister-wings
1016,The Vegan Indian,"Lange Leidsedwarsstraat 108, 1017NN Amsterdam, ","Maandag: 12:15 - 22:30
Dinsdag: 12:15 - 22:30
Woensdag: 12:15 - 22:30
Donderdag: Gesloten voor bezorging
Vrijdag: 12:15 - 22:30
Zaterdag: 12:15 - 22:30
Zondag: 12:15 - 22:30
","Snacks, Tandoori, Biryani, Speciaal menu, Take a naan bread, Plant based chicken curry, Other vegan currys, ","4,1, op basis van 345 beoordelingen",Bezorgen in 50-75 min,,"€ 17,50",https://www.thuisbezorgd.nl/menu/the-vegan-indian
1016,Fresh Addicts Club,"Van Woustraat 45 H, 1074 AB Amsterdam, ","Maandag: 10:30 - 20:00
Dinsdag: 10:30 - 20:00
Woensdag: 10:30 - 20:00
Donderdag: 10:30 - 20:00
Vrijdag: 10:30 - 20:00
Zaterdag: 10:30 - 20:00
Zondag: Gesloten voor bezorging
","Build your own bowl, Hot bowls, Bowls, Hot wraps, Wraps, Soepen, Wraps to go, Smoothies, ","4,3, op basis van 51 beoordelingen",Bezorgen in 40-65 min,,"€ 30,00",https://www.thuisbezorgd.nl/menu/fresh-addicts-club
1016,Chickymoon Amsterdam,,"Maandag: Gesloten voor bezorging
Dinsdag: 11:30 - 20:30
Woensdag: 11:30 - 21:00
Donderdag: 12:45 - 21:00
Vrijdag: 11:30 - 21:15
Zaterdag: 11:30 - 21:15
Zondag: 11:30 - 21:15
","Buckets, Burgers, Kip, Menu's, Bijgerechten, Friet, Sauzen, Desserts, Dranken, ","4,3, op basis van 50 beoordelingen",Bezorgen in 20-45 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/chickymoon-amsterdam
