Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
4001,The Foodcorner,"Graaf Waltgerlaan 3, 4001KE Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: 17:00 - 23:30
Woensdag: 17:00 - 23:30
Donderdag: 17:00 - 23:30
Vrijdag: 17:00 - 00:30
Zaterdag: 17:00 - 00:30
Zondag: 17:00 - 23:30
","Panini's, Panini menu's, Wraps, Wrap menu's, Warme broodjes, Warme broodjes menu, Koude broodjes, ","4,3, op basis van 403 beoordelingen",Bezorgen vanaf 17:00,"€ 2,50","€ 10,00",https://www.thuisbezorgd.nl/menu/the-foodcorner
4001,Da Sergio,"Damstraat 11, 4001KZ Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: 17:00 - 21:45
Woensdag: 17:00 - 21:45
Donderdag: 17:00 - 21:45
Vrijdag: 17:00 - 21:45
Zaterdag: 17:00 - 21:45
Zondag: 17:00 - 21:45
","Antipasti freddi - Koude voorgerechten, Antipasti freddi - Warme voorgerechten, Pasta Asciutta, Pizza's, Sauzen, ","4,9, op basis van 1.187 beoordelingen",Bezorgen vanaf 17:00,"€ 2,00","€ 15,00",https://www.thuisbezorgd.nl/menu/da-sergio
4001,Restaurant Efes,"Westluidensestraat 37, 4001NE Tiel, ","Maandag: 17:00 - 23:45
Dinsdag: Gesloten voor bezorging
Woensdag: 17:00 - 23:45
Donderdag: 17:00 - 23:45
Vrijdag: 17:00 - 23:45
Zaterdag: 17:00 - 23:45
Zondag: 17:00 - 23:45
","Schotels, Mix grill, Pita broodjes, ","4,5, op basis van 543 beoordelingen",Bezorgen vanaf 17:00,"€ 2,50","€ 13,50",https://www.thuisbezorgd.nl/menu/restaurant-efes
4001,Nefeli,,"Maandag: 16:00 - 20:30
Dinsdag: Gesloten voor bezorging
Woensdag: Gesloten voor bezorging
Donderdag: 16:00 - 20:45
Vrijdag: 16:00 - 21:00
Zaterdag: 16:00 - 21:00
Zondag: 16:00 - 20:30
","Pastagerechten, Griekse pitabroodjes, Kleine schotels, Griekse schotels, Griekse mixschotels, Vegetarische gerechten, ","4,5, op basis van 637 beoordelingen",Bezorgen vanaf 16:00,"€ 2,00","€ 12,50",https://www.thuisbezorgd.nl/menu/nefeli-tiel
4001,Lunchkoning,,"Maandag: 11:00 - 13:55
Dinsdag: 11:00 - 13:55
Woensdag: 11:00 - 13:55
Donderdag: 11:00 - 13:55
Vrijdag: 11:00 - 13:55
Zaterdag: 11:00 - 13:55
Zondag: 11:00 - 13:55
","Belegde broodjes koud, Belegde broodjes met huisgemaakte salade, Duo broodjes koud, Luxe belegde broodjes koud, ","4,7, op basis van 555 beoordelingen",Bezorgen vanaf 16:15,"€ 1,50","€ 9,00",https://www.thuisbezorgd.nl/menu/lunchkoning
4001,Chinees Japans Restaurant Lotus,"Waalstraat 3, 4001LM Tiel, ","Maandag: 16:15 - 21:00
Dinsdag: 16:15 - 21:00
Woensdag: Gesloten voor bezorging
Donderdag: 16:15 - 21:00
Vrijdag: 16:15 - 21:00
Zaterdag: 16:15 - 21:00
Zondag: 16:15 - 21:00
","Boxen, Poke bowls, Nigiri, Gunkan, Maki, Inside-out, Temaki, Sashimi, Salade, Gebakken, ","3,9, op basis van 231 beoordelingen",Bezorgen vanaf 16:15,"€ 2,50","€ 15,00",https://www.thuisbezorgd.nl/menu/chinees-japans-restaurant-lotus-new
4001,Twins Grillhuysch,,"Maandag: Gesloten voor bezorging
Dinsdag: 16:00 - 21:00
Woensdag: 16:00 - 21:00
Donderdag: 14:30 - 21:00
Vrijdag: 16:00 - 21:00
Zaterdag: 16:00 - 21:00
Zondag: 16:00 - 21:00
","Gezond salades, Luxe brood en pita, Vooraf voorgerechten, Hoofdgerechten BBQ, Vis schotels BBQ, Italiaans pizza's, ","4,4, op basis van 576 beoordelingen",Bezorgen vanaf 16:00,,"€ 15,00",https://www.thuisbezorgd.nl/menu/twins-grillhuysch
4001,Mr. Wok en Poke,"Eerste Bleekveldstraat 6, 4001NZ Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 22:00
Zaterdag: 16:00 - 22:00
Zondag: 17:00 - 22:00
","Stel je eigen wok samen, Stel je eigen poké bowl samen, Bijgerechten, Dranken, ","3,9, op basis van 29 beoordelingen",Bezorgen vanaf 16:00,"€ 2,50","€ 8,95",https://www.thuisbezorgd.nl/menu/mr-wok-en-poke-1
4001,Schnitzel Koning Tiel,"Plein 29-37, 4001LG Tiel, ","Maandag: 11:00 - 13:55
Dinsdag: 11:00 - 13:55
Woensdag: 11:00 - 13:55
Donderdag: 11:00 - 13:55
Vrijdag: 11:00 - 13:55
Zaterdag: 11:00 - 13:55
Zondag: 11:00 - 13:55
","Voorgerechten, Schnitzels, Wereldse Schnitzels, Hoofdgerechten, Bijgerechten, Kids, Desserts, ","3,8, op basis van 1.302 beoordelingen",Bezorgen vanaf 16:30,"€ 1,50","€ 9,00",https://www.thuisbezorgd.nl/menu/schnitzelkoning-tiel
4001,Cafetaria de Tol,"Medelsestraat 25, 4005VA Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: 16:30 - 20:30
Woensdag: 16:30 - 20:30
Donderdag: 16:30 - 20:30
Vrijdag: 16:30 - 20:30
Zaterdag: 16:30 - 20:30
Zondag: 16:30 - 20:30
","Maandmenu, Patat, Snacks, Mini snacks, Bittergarnituur, American hamburgers, Belegde broodjes, ","4,4, op basis van 1.046 beoordelingen",Bezorgen vanaf 16:30,"€ 2,50","€ 14,99",https://www.thuisbezorgd.nl/menu/plaza-de-tol
