30th September 2023,Manchester United v Crystal Palace,1.59,6.60,4.40,3.20,2.64,3.15,1,4,36,1,1,15,0-1
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.72,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Cardiff City v Rotherham United,1.62,6.80,4.10,1.92,8.20,2.74,2,0,26,0,0,15,0-0
30th September 2023,Millwall v Swansea City,2.34,3.55,3.40,6.80,1.72,3.45,1,4,18,3,1,15,0-1
30th September 2023,Millwall v Swansea City,2.34,3.55,3.40,6.80,1.72,3.45,1,4,18,3,1,15,0-1
30th September 2023,Derby County v Cambridge United,1.64,5.80,4.50,1.86,7.20,3.00,2,5,36,0,0,12,0-0
30th September 2023,Port Vale v Bolton Wanderers,2.68,2.72,3.65,10.0,1.4,4.4,2,0,16,4,3,43,0-1
30th September 2023,Port Vale v Bolton Wanderers,2.68,2.72,3.65,10.0,1.4,4.4,2,0,16,4,3,43,0-1
30th September 2023,Port Vale v Bolton Wanderers,2.68,2.72,3.65,10.0,1.4,4.4,2,0,16,4,3,43,0-1
30th September 2023,Port Vale v Bolton Wanderers,2.68,2.72,3.65,10.0,1.4,4.4,2,0,16,4,3,43,0-1
30th September 2023,Port Vale v Bolton Wanderers,2.68,2.72,3.65,10.0,1.4,4.4,2,0,16,4,3,43,0-1
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
30th September 2023,Reading v Burton Albion,1.96,4.30,3.75,2.36,4.80,2.62,1,3,16,1,1,19,0-0
