Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1011,Pizza'dam,"Rozengracht 35, 1016LR Amsterdam, ","Maandag: 15:30 - 03:00
Dinsdag: 15:30 - 03:00
Woensdag: 15:30 - 03:00
Donderdag: 15:30 - 03:00
Vrijdag: 15:30 - 03:00
Zaterdag: 15:30 - 03:00
Zondag: 15:30 - 01:00
","Vegetarian pizza's, Vegan pizza's, Meat pizza's, Chicken pizza's, Fish pizza's, Calzones, Pizza half om half, ","4,7, op basis van 21 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/pizzadam-new
1011,Monkey Temple,"Lange Leidsedwarsstraat 104 H, 1017NM Amsterdam, ","Maandag: 14:30 - 22:30
Dinsdag: 14:30 - 22:30
Woensdag: Gesloten voor bezorging
Donderdag: 14:30 - 22:30
Vrijdag: 14:30 - 22:30
Zaterdag: 14:30 - 22:30
Zondag: 14:30 - 22:30
","Monkey Temple menu's, Nepalese snacks, Nepalese hoofdgerechten, Tandoori gerechten, Vegan curry specials, ","3,1, op basis van 205 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/bhancha-ghar
1011,Sushieye2,"Valkenburgerstraat 8 1, 1011LZ Amsterdam, ","Maandag: 12:00 - 21:30
Dinsdag: 12:00 - 21:30
Woensdag: Gesloten voor bezorging
Donderdag: 12:00 - 21:30
Vrijdag: 12:00 - 21:30
Zaterdag: 12:00 - 21:30
Zondag: 12:00 - 21:30
","Nigiri, Sashimi, Maki, Uramaki rollen, Uramaki knapperige rollen, Uramaki krokante rollen, Uramaki dragon rollen, ","4,3, op basis van 33 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/sushieye2
1011,Fresh Addicts Club,"Van Woustraat 45 H, 1074 AB Amsterdam, ","Maandag: 10:30 - 20:00
Dinsdag: 10:30 - 20:00
Woensdag: 10:30 - 20:00
Donderdag: 10:30 - 20:00
Vrijdag: 10:30 - 20:00
Zaterdag: 10:30 - 20:00
Zondag: 11:00 - 20:00
","Build your own bowl, Hot bowls, Bowls, Hot wraps, Wraps, Soepen, Wraps to go, Smoothies, ","4,2, op basis van 55 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/fresh-addicts-club
1011,Durbar Indian & Nepalese Restaurant,"Lange Leidsedwarsstraat 114H, 1017NM Amsterdam, ","Maandag: 14:15 - 22:45
Dinsdag: 14:15 - 22:45
Woensdag: Gesloten voor bezorging
Donderdag: 14:15 - 22:45
Vrijdag: 14:15 - 22:45
Zaterdag: 14:15 - 22:45
Zondag: 14:15 - 22:45
","Vegetarische voorgerechten, Voorgerechten, Momo, Chow mein, Tandoori gerechten, Nepalese tandoori gerechten, ","3,2, op basis van 70 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/durbar-indian-nepalese-restaurant
1011,Doner Dudes,"Quellijnstraat 105H, 1073XH Amsterdam, ","Maandag: 11:00 - 21:30
Dinsdag: 11:00 - 21:30
Woensdag: 11:00 - 21:30
Donderdag: 11:00 - 21:30
Vrijdag: 11:00 - 23:00
Zaterdag: 11:00 - 23:00
Zondag: 11:00 - 23:00
","Make your own, Fingerfood, Desserts, Sauzen, Dranken, ","3,6, op basis van 4 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/doner-dude-quellijnstraat
1011,SUSHIBUCK,"De Clercqstraat 60H, 1052 NJ Amsterdam, ","Maandag: 16:00 - 22:00
Dinsdag: Gesloten voor bezorging
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 23:00
Zaterdag: 16:00 - 23:00
Zondag: 16:00 - 22:00
","Back to nature, V.I.P boxen, Regular boxen, Speciale rolls, Uramaki, Hosomaki, Gefrituurde sushi, ","4,7, op basis van 897 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/sushibuck
1011,Mooshka Vegan Soulfood,"Van Woustraat 110 H, 1073 ER Amsterdam, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: Gesloten voor bezorging
Donderdag: Gesloten voor bezorging
Vrijdag: Gesloten voor bezorging
Zaterdag: Gesloten voor bezorging
Zondag: Gesloten voor bezorging
","Voorgerechten, Burgers, Maaltijden, Bijgerechten, Saus, Frisdrank, Bier and wijn, ","3,6, op basis van 14 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/mooshka-vegan-soulfood-1
1011,Wagamama,"De Ruijterkade 36, 1012AA Amsterdam, ","Maandag: 11:30 - 21:30
Dinsdag: 11:30 - 21:30
Woensdag: Gesloten voor bezorging
Donderdag: 11:30 - 21:30
Vrijdag: 11:30 - 21:30
Zaterdag: 11:30 - 21:30
Zondag: 11:30 - 21:30
","Bundels, Bijgerechten, Gyoza, Ramen, Donburi, Teppanyaki, Curry, Salades, Extra's, Kids meals, ","2,8, op basis van 141 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/wagamama-amsterdam-centraal-station
1011,Ritos - Fresh Mex en Pokébowls,"1e Constantijn Huygensstraat 69h, 1054BT Amsterdam, ","Maandag: 11:30 - 21:30
Dinsdag: 17:00 - 21:30
Woensdag: 17:00 - 21:30
Donderdag: 17:00 - 21:30
Vrijdag: 11:30 - 21:30
Zaterdag: 17:00 - 21:30
Zondag: 17:00 - 21:30
","Thuisbezorgd special, Signature pokébowls, Signature fusion burrito's, Build your own pokébowls or roll, Signature Mexican burrito or bowl, ","3,9, op basis van 710 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/ritos-amsterdam
